Region,year,inflow (kt),outflow (kt),all sand supply (kt),recycled sand supply (kt),sand stock (kt),sand substitution,all gravel supply (kt),recycled gravel supply (kt),gravel stock (kt),gravel substitution
Canada,1995,45447.40604550546,19896.384632062804,16960.16497564287,3840.002233988121,0.0,0.22641302366473984,20954.057478710547,12216.38016408656,0.0,0.5830078578575285
Canada,1996,50401.416458422944,20434.2058495376,18808.91369872742,3943.801728960757,0.0,0.20967727281494133,23238.161852862602,12546.602391616087,0.0,0.5399137191253588
Canada,1997,83945.30090018352,20964.033143920915,31326.895769838873,4046.0583967767366,0.0,0.12915605895022095,38703.96163796139,12871.91635036744,0.0,0.3325736127679107
Canada,1998,69301.28993293112,21548.08122547412,25862.010894758387,4158.779676516506,0.0,0.16080650856733616,31952.16930861632,13230.52187244111,0.0,0.4140727267889547
Canada,1999,75203.44198025702,22180.311585725758,28064.58924067644,4280.800136045072,0.0,0.15253386035098412,34673.42545960377,13618.711313635615,0.0,0.3927708650967317
Canada,2000,73644.15750241917,22826.108094942483,27482.691960078962,4405.438862323899,0.0,0.16029866611040827,33954.49913536955,14015.230370294685,0.0,0.41276504519824797
Canada,2001,63727.59945949621,23471.411414562055,23782.008576078777,4529.982403010476,0.0,0.1904793864874381,29382.354203394345,14411.446608541102,0.0,0.49047964328454813
Canada,2002,79808.8010614285,24140.145300016142,29783.227477378794,4659.048042903116,0.0,0.1564319396358838,36796.7800642724,14822.04921420991,0.0,0.4028083214977085
Canada,2003,65217.78173741079,24836.123164277127,24338.11814263808,4793.371770705486,0.0,0.1969491536943422,30069.420151094695,15249.379622866156,0.0,0.5071391315908362
Canada,2004,71650.62387898863,25520.364318303837,26738.7406088397,4925.430313432641,0.0,0.18420577040207783,33035.35716961512,15669.503691438555,0.0,0.4743252391970767
Canada,2005,80985.22982768611,26205.6394165973,30222.2498043702,5057.688407403279,0.0,0.1673498313375706,37339.18629012142,16090.262601790742,0.0,0.43092161882616165
Canada,2006,85495.29840541592,26914.011000780458,31905.327317158746,5194.404123150629,0.0,0.16280679622920116,39418.60609498447,16525.2027544792,0.0,0.41922341735421814
Canada,2007,42976.25712569068,27642.66423502761,16037.976076292363,5335.034197360329,0.0,0.33265009075843904,19814.705401005485,16972.595840306953,0.0,0.8565656413668249
Canada,2008,59364.19026701631,28368.347364620313,22153.661741793072,5475.09104137172,0.0,0.2471415834179193,27370.553421391298,17418.16528187687,0.0,0.636383379382596
Canada,2009,73563.5316626145,29081.518621255316,27452.60382824988,5612.733093902276,0.0,0.20445175725468118,33917.32565004798,17856.052433450765,0.0,0.526458147605323
Canada,2010,30144.915973067662,29771.344231830077,11249.547390409998,5745.869436743205,0.0,0.5107644989914384,13898.665665496825,13898.665665496825,4380.939692846841,1.0
Canada,2011,61823.621848637245,30473.84251497591,23071.477938581767,5881.451605390351,0.0,0.2549230535229375,28504.5030834389,23091.87899704205,0.0,0.8101133680333624
Canada,2012,70105.92640926773,31179.428373250055,26162.28694066571,6017.629676037261,0.0,0.23001160753587163,32323.156355880197,19144.169021175534,0.0,0.5922741210789226
Canada,2013,52160.90570027235,31885.954751654273,19465.52384243409,6153.989267069275,0.0,0.31614814565913796,24049.394922357696,19577.976217515723,0.0,0.8140735465787089
Canada,2014,66665.81499663703,32585.672567981666,24878.498443817523,6289.034805620462,0.0,0.2527899672009076,30737.05280133947,20007.602956740742,0.0,0.6509278259712931
