scenario,region,variables,unit,2025,2030,2035,2040,2045,2050
SSP2-Base-image,RUS,Production|Gravel|GRAVEL_CRUSHED,kt,89460.38390017458,87530.00416017245,78468.03670039285,67612.49854197098,54792.67807685029,43048.247509560184
SSP2-Base-image,RUS,Production|Gravel|GRAVEL_ROUND,kt,89460.38390017458,87530.00416017245,78468.03670039285,67612.49854197098,54792.67807685029,43048.247509560184
SSP2-Base-image,RUS,Production|Sand|SAND_HAS,kt,284.1190256819704,1878.3359452883155,3782.682536807487,5997.784623771302,8498.29618851785,11245.011296434952
SSP2-Base-image,RUS,Production|Sand|SAND_QUARRY,kt,51543.476592844316,52214.4418730504,49147.268954223284,45399.316104754784,40844.58869882698,37179.98220012398
SSP2-Base-image,RUS,Production|Sand|SAND_RIVER,kt,21306.32946032664,21583.683807792135,20315.81828842601,18766.54137714308,16883.77115814413,15368.946808584058
SSP2-Base-image,RUS,Production|Sand|SAND_ZINC,kt,6.69918699171476,6.7863934080097925,6.3877481035524095,5.900620757194765,5.308635648591626,4.832340958968911
SSP2-Base-image,SAF,Production|Gravel|GRAVEL_ADR,kt,171.15894872306478,1245.0596308680765,2751.3723993433077,4783.826451055547,7428.874204024036,10751.759790014035
SSP2-Base-image,SAF,Production|Gravel|GRAVEL_CRUSHED,kt,33677.607874723435,36510.556720829445,38738.31521009363,40685.85576142843,40733.866099401566,38281.94811329724
SSP2-Base-image,SAF,Production|Gravel|GRAVEL_ROUND,kt,33677.607874723435,36510.556720829445,38738.31521009363,40685.85576142843,40733.866099401566,38281.94811329724
SSP2-Base-image,SAF,Production|Sand|SAND_HAS,kt,53.80077704161483,391.36239211325534,864.8450701518866,1503.7109202829326,2335.134725369119,3379.624819988125
SSP2-Base-image,SAF,Production|Sand|SAND_QUARRY,kt,19344.45444258674,21342.7854944726,23146.020583988226,24973.07364216984,25926.971610748657,25686.76510975122
SSP2-Base-image,SAF,Production|Sand|SAND_RIVER,kt,7996.343025903917,8822.385477378602,9567.781858285034,10323.023781654229,10717.33293062029,10618.039689514508
SSP2-Base-image,SAF,Production|Sand|SAND_ZINC,kt,2.5142292707043925,2.7739555110137615,3.008324821219813,3.2457897903996793,3.3697694146886144,3.338549396692569
SSP2-Base-image,SEAS,Production|Gravel|GRAVEL_ADR,kt,1436.7859682256044,10057.65636406546,21417.876694552877,35923.224893875435,53964.14584578988,75888.54155633233
SSP2-Base-image,SEAS,Production|Gravel|GRAVEL_CRUSHED,kt,193597.6411786757,197019.56657996972,195157.2757053384,198651.26585826674,198354.414283854,193961.0961026452
SSP2-Base-image,SEAS,Production|Gravel|GRAVEL_ROUND,kt,193597.6411786757,197019.56657996972,195157.2757053384,198651.26585826674,198354.414283854,193961.0961026452
SSP2-Base-image,SEAS,Production|Sand|SAND_HAS,kt,451.6281626507193,3161.445730072693,6732.329319297564,11291.828020387557,16962.671251201053,23854.215831224985
SSP2-Base-image,SEAS,Production|Sand|SAND_QUARRY,kt,111361.30845354419,116340.16400329016,119252.60084452789,126333.71217971918,132482.41301781606,137645.54593572294
SSP2-Base-image,SEAS,Production|Sand|SAND_RIVER,kt,46032.99745934616,48091.087904354885,49294.99076410918,52222.08262957688,54763.74753984926,56898.01201458307
SSP2-Base-image,SEAS,Production|Sand|SAND_ZINC,kt,14.473804995060968,15.120914707817823,15.499448720087365,16.419791934774267,17.218948285749683,17.890008818848024
SSP2-Base-image,STAN,Production|Gravel|GRAVEL_ADR,kt,224.44487124783208,1525.3752951655215,3172.2415337974408,5203.489897732182,7641.538803314796,10486.03782893587
SSP2-Base-image,STAN,Production|Gravel|GRAVEL_CRUSHED,kt,29518.927281398923,29882.009577997593,28141.355158204602,26390.454538995145,24289.592569106208,20414.004874110196
SSP2-Base-image,STAN,Production|Gravel|GRAVEL_ROUND,kt,29518.927281398923,29882.009577997593,28141.355158204602,26390.454538995145,24289.592569106208,20414.004874110196
SSP2-Base-image,STAN,Production|Sand|SAND_HAS,kt,70.55026083197329,479.4746448973056,997.1378111122248,1635.6246746943175,2401.9820668399925,3296.099838737171
