scenario,region,variables,unit,2020,2025,2030,2035,2040,2045,2050
SSP2-Base-image,NAF,Production|Sand|SAND_QUARRY,kt,93654.86418905729,101289.87776489675,102252.16697996494,106337.3356827588,108024.98133793201,112763.4959154789,124787.2717678026
SSP2-Base-image,NAF,Production|Sand|SAND_RIVER,kt,38713.7524256799,41869.80873840999,42267.586544791186,43956.25708151678,44653.87270076278,46612.61431882024,51582.83648079008
SSP2-Base-image,NAF,Production|Sand|SAND_ZINC,kt,12.172470492090312,13.164805255087849,13.289875502924938,13.820831325887728,14.040177294904685,14.65604951223121,16.218798634054387
SSP2-Base-image,OCE,DUMMY,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SSP2-Base-image,OCE,Production|Gravel|GRAVEL_ADR,kt,9994.5483883621,11409.289863489825,12864.195049731736,14335.19671765888,15821.797984046,17323.041555447544,18823.499459222083
SSP2-Base-image,OCE,Production|Gravel|GRAVEL_CRUSHED,kt,41405.00449270408,38423.28783042103,35560.979336179065,34176.08994579023,33444.905630215384,33350.11835052543,32191.22360051077
SSP2-Base-image,OCE,Production|Gravel|GRAVEL_ROUND,kt,41405.00449270408,38423.28783042103,35560.979336179065,34176.08994579023,33444.905630215384,33350.11835052543,32191.22360051077
SSP2-Base-image,OCE,Production|Sand|SAND_HAS,kt,3141.6088582310836,3586.3077258200915,4043.631342993852,4506.014603433492,4973.301320718043,5445.1905866471925,5916.832891905313
SSP2-Base-image,OCE,Production|Sand|SAND_QUARRY,kt,29292.61941485268,27183.1572263732,25158.172217990843,24178.410511855156,23661.12270714021,23594.063960417545,22774.185704878844
SSP2-Base-image,OCE,Production|Sand|SAND_RIVER,kt,12108.577869880375,11236.59756620631,10399.5372708438,9994.536927765726,9780.707649618123,9752.987832381968,9414.077898776703
SSP2-Base-image,OCE,Production|Sand|SAND_ZINC,kt,3.807207970998128,3.5330378414935586,3.2698473443966707,3.142506169322817,3.0752734570303724,3.0665577258957843,2.9599968552024563
SSP2-Base-image,RCAM,DUMMY,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SSP2-Base-image,RCAM,Production|Gravel|GRAVEL_ADR,kt,14185.051021462214,16117.519638826776,18415.492270644114,21098.275712067123,24086.343241200007,27394.847627987132,31017.27272030947
SSP2-Base-image,RCAM,Production|Gravel|GRAVEL_CRUSHED,kt,53819.898803776625,65508.22512773543,71602.35348408959,72885.51044250943,76915.96778817703,80012.3865525158,80747.75493912151
SSP2-Base-image,RCAM,Production|Gravel|GRAVEL_ROUND,kt,53819.898803776625,65508.22512773543,71602.35348408959,72885.51044250943,76915.96778817703,80012.3865525158,80747.75493912151
SSP2-Base-image,RCAM,Production|Sand|SAND_HAS,kt,4458.818969286983,5066.256173116561,5788.583075300186,6631.868424151392,7571.114406435833,8611.084026386834,9749.729047263401
SSP2-Base-image,RCAM,Production|Sand|SAND_QUARRY,kt,38075.7309876083,46344.82064957561,50656.207275301,51563.99677787516,54415.40700088919,56606.01698932106,57126.26488066837
SSP2-Base-image,RCAM,Production|Sand|SAND_RIVER,kt,15739.21905332586,19157.38096868482,20939.562341590194,21314.811810601685,22493.488330968852,23399.01238983863,23614.065267657606
SSP2-Base-image,RCAM,Production|Sand|SAND_ZINC,kt,4.948762842427822,6.023509474952508,6.583867198345234,6.701854032545399,7.0724563189404535,7.357173356061317,7.424790795484578
SSP2-Base-image,RSAF,DUMMY,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SSP2-Base-image,RSAF,Production|Gravel|GRAVEL_ADR,kt,10739.038599751777,12596.926035139777,14741.26641661459,17191.67739103474,20009.647700043697,23317.684483492623,27280.515441350428
SSP2-Base-image,RSAF,Production|Gravel|GRAVEL_CRUSHED,kt,63120.75184206678,65883.49006683356,72463.88722723171,80319.93466661332,98997.57682140225,124633.39484137214,157252.06921469345
SSP2-Base-image,RSAF,Production|Gravel|GRAVEL_ROUND,kt,63120.75184206678,65883.49006683356,72463.88722723171,80319.93466661332,98997.57682140225,124633.39484137214,157252.06921469345
SSP2-Base-image,RSAF,Production|Sand|SAND_HAS,kt,3375.6261396613895,3959.620072934816,4633.655404571035,5403.8985935988685,6289.677534378557,7329.500171521297,8575.145733193214
SSP2-Base-image,RSAF,Production|Sand|SAND_QUARRY,kt,44655.76525211652,46610.30771268356,51265.71282565936,56823.59672318153,70037.38742095692,88173.8486977507,111250.44115176369
SSP2-Base-image,RSAF,Production|Sand|SAND_RIVER,kt,18459.18260967071,19267.124338902457,21191.511315975746,23488.95249089431,28951.08653067864,36448.08604936207,45987.16866753276
SSP2-Base-image,RSAF,Production|Sand|SAND_ZINC,kt,5.80398027950599,6.05801524750042,6.663085596564525,7.385452537426068,9.102869766633065,11.46009425928793,14.459395396892779
SSP2-Base-image,RSAM,DUMMY,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SSP2-Base-image,RSAM,Production|Gravel|GRAVEL_ADR,kt,31356.59767793197,37757.38157359439,45157.02339526419,53479.64275807639,62541.88576754299,72251.12899940624,82496.83144314351
SSP2-Base-image,RSAM,Production|Gravel|GRAVEL_CRUSHED,kt,211396.925100212,213309.3216330031,219786.52098996242,215895.5086960078,217035.44323384674,214693.60087686323,209216.58300547316
SSP2-Base-image,RSAM,Production|Gravel|GRAVEL_ROUND,kt,211396.925100212,213309.3216330031,219786.52098996242,215895.5086960078,217035.44323384674,214693.60087686323,209216.58300547316
SSP2-Base-image,RSAM,Production|Sand|SAND_HAS,kt,9856.389823845066,11868.362611895307,14194.308656817571,16810.376306691764,19658.931519765145,22710.859766914342,25931.41444385456
SSP2-Base-image,RSAM,Production|Sand|SAND_QUARRY,kt,149556.06812026256,150909.02302249434,155491.41923189387,152738.6615963909,153545.1261526415,151888.3530709048,148013.55093042328
SSP2-Base-image,RSAM,Production|Sand|SAND_RIVER,kt,61821.41894176658,62380.68472664218,64274.892292935314,63136.995414737576,63470.360578854896,62785.50663702002,61183.794520260344
SSP2-Base-image,RSAM,Production|Sand|SAND_ZINC,kt,19.438038182747686,19.61388386644117,20.209465133094696,19.851684879178624,19.95650235020779,19.741168938279294,19.237554789392295
SSP2-Base-image,RSAS,DUMMY,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SSP2-Base-image,RSAS,Production|Gravel|GRAVEL_ADR,kt,50150.88781635434,56160.50773739163,62841.00230677163,70262.24457451476,78514.5252311454,87782.21813484328,98239.91656511645
SSP2-Base-image,RSAS,Production|Gravel|GRAVEL_CRUSHED,kt,165032.2729647928,188188.76643815305,205284.053414205,224824.3700715899,257121.55510794776,288859.6105045702,321876.6171390443
SSP2-Base-image,RSAS,Production|Gravel|GRAVEL_ROUND,kt,165032.2729647928,188188.76643815305,205284.053414205,224824.3700715899,257121.55510794776,288859.6105045702,321876.6171390443
SSP2-Base-image,RSAS,Production|Sand|SAND_HAS,kt,15764.041284293793,17653.058621036784,19752.953493822355,22085.68925550708,24679.647181776974,27592.781921864418,30879.97377372553
SSP2-Base-image,RSAS,Production|Sand|SAND_QUARRY,kt,116754.668242521,133137.09250761647,145231.42123218928,159055.52452847903,181904.67431199882,204358.25906802973,227716.65792369793
SSP2-Base-image,RSAS,Production|Sand|SAND_RIVER,kt,48262.42993379378,55034.36989252429,60033.75622501345,65748.17284558785,75193.23835837109,84474.79067111862,94130.36252196415
SSP2-Base-image,RSAS,Production|Sand|SAND_ZINC,kt,15.174788477905178,17.30403801216566,18.875957002132054,20.67269752288075,23.64243757768234,26.56076542163398,29.596693381970702
SSP2-Base-image,RUS,DUMMY,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SSP2-Base-image,RUS,Production|Gravel|GRAVEL_ADR,kt,40612.29755640436,44651.73388277333,49199.42535242406,54043.71815046158,58912.6956264189,63599.04285014753,67971.14082083426
SSP2-Base-image,RUS,Production|Gravel|GRAVEL_CRUSHED,kt,126928.64347597458,123269.01130756465,122675.70440481912,108271.49075427998,92081.21308992269,73897.3715364834,60256.57342378693
SSP2-Base-image,RUS,Production|Gravel|GRAVEL_ROUND,kt,126928.64347597458,123269.01130756465,122675.70440481912,108271.49075427998,92081.21308992269,73897.3715364834,60256.57342378693
SSP2-Base-image,RUS,Production|Sand|SAND_HAS,kt,12765.754769358375,14035.47986868934,15464.965949540463,16987.6833925718,18518.16002589389,19991.230081561032,21365.521463226407
SSP2-Base-image,RUS,Production|Sand|SAND_QUARRY,kt,89797.6583202739,87208.59418126449,86788.84991336102,76598.36319309469,65144.297491293444,52279.85376882655,42629.45733666418
SSP2-Base-image,RUS,Production|Sand|SAND_RIVER,kt,37119.31401234218,36049.082487693544,35875.57440767636,31663.171951043845,26928.448691482325,21610.72287256148,17621.575469280626
SSP2-Base-image,RUS,Production|Sand|SAND_ZINC,kt,11.671143358403974,11.334638606546102,11.28008378166306,9.95561014138231,8.466907146862034,6.794895095328025,5.540617842089583
SSP2-Base-image,SAF,DUMMY,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SSP2-Base-image,SAF,Production|Gravel|GRAVEL_ADR,kt,6972.189173465185,8455.2520669194,10250.990960813831,12356.163320687214,14770.064167634,17475.54217518035,20428.343601026667
SSP2-Base-image,SAF,Production|Gravel|GRAVEL_CRUSHED,kt,50631.81956568599,59644.06509163619,65193.002967148466,69863.2375088408,74564.04183824435,75998.71893702845,73078.64398827817
SSP2-Base-image,SAF,Production|Gravel|GRAVEL_ROUND,kt,50631.81956568599,59644.06509163619,65193.002967148466,69863.2375088408,74564.04183824435,75998.71893702845,73078.64398827817
SSP2-Base-image,SAF,Production|Sand|SAND_HAS,kt,2191.583893287917,2657.7583858557723,3222.217028399136,3883.940587773017,4642.707466373554,5493.126449201642,6421.287157977437
SSP2-Base-image,SAF,Production|Sand|SAND_QUARRY,kt,35820.27436032456,42196.12871656273,46121.81179124235,49425.842419520595,52751.50012326927,53766.484924087075,51700.632132025195
SSP2-Base-image,SAF,Production|Sand|SAND_RIVER,kt,14806.889587776073,17442.452077635913,19065.19665124436,20430.97113458372,21805.685519258728,22225.245898048746,21371.29224350778
SSP2-Base-image,SAF,Production|Sand|SAND_ZINC,kt,4.655617585323187,5.484297437514383,5.994524661712519,6.423954736444063,6.856195716303425,6.988114892577437,6.719612745143714
SSP2-Base-image,SEAS,DUMMY,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SSP2-Base-image,SEAS,Production|Gravel|GRAVEL_ADR,kt,60838.88322289777,70977.22683034485,82808.03739747228,96185.73715553744,110912.9568598404,126944.22879914379,144188.22895703145
SSP2-Base-image,SEAS,Production|Gravel|GRAVEL_CRUSHED,kt,292470.23872132215,307413.4831555265,314264.7684976463,313077.1114168188,328130.3060434164,340505.9823789123,350444.57177045173
SSP2-Base-image,SEAS,Production|Gravel|GRAVEL_ROUND,kt,292470.23872132215,307413.4831555265,314264.7684976463,313077.1114168188,328130.3060434164,340505.9823789123,350444.57177045173
SSP2-Base-image,SEAS,Production|Sand|SAND_HAS,kt,19123.622902311516,22310.431234945532,26029.236510931838,30234.278943027242,34863.51901294658,39902.66475282533,45323.010079327476
SSP2-Base-image,SEAS,Production|Sand|SAND_QUARRY,kt,206912.65459334553,217484.48709034224,222331.5362934075,221491.30967611138,232140.9281600878,240896.29436131497,247927.50520487753
